Index,Gender,Grade,Q1,Q2,Q3,Q4,Q5,Programme,Total
55,2,2,6,6,10,10,5,A,37
56,2,2,8,4,8,7,2,B,29
57,2,2,8,8,12,10,6,D,44
58,1,2,8,6,14,8,0,B,36
59,2,2,8,4,14,4,0,A,30
60,2,2,8,8,14,8,1,A,39
61,2,2,8,8,12,10,1,A,39
62,2,2,6,4,14,10,2,A,36
63,2,2,8,6,12,10,0,D,36
64,1,2,8,4,14,8,3,A,37
65,1,2,8,6,14,7,3,A,38
66,2,2,8,6,14,10,2,A,40
67,1,2,8,8,14,10,2,A,42
68,2,2,4,4,12,5,0,D,25
69,1,2,8,6,14,5,0,D,33
70,1,2,6,6,14,4,0,D,30
71,2,2,6,2,8,10,2,B,28
72,1,2,8,4,14,2,0,A,28
73,2,2,8,6,8,7,0,A,29
74,2,2,8,6,10,8,3,D,35
75,2,2,8,2,14,5,2,D,31
76,2,2,4,4,14,4,1,D,27
77,2,2,8,6,14,7,4,A,39
78,2,2,8,4,8,4,0,B,24
79,2,2,4,0,13,6,0,B,23
80,2,2,6,6,12,4,0,B,28
81,2,2,8,4,14,10,1,A,37
82,2,2,8,8,12,10,2,A,40
83,1,2,6,2,14,10,3,A,35
84,2,2,8,6,14,10,2,A,40
85,2,2,8,2,14,7,2,A,33
86,1,2,8,6,14,8,1,A,37
87,2,2,8,6,14,10,3,A,41
88,2,2,6,6,14,10,6,A,42
89,2,2,8,8,12,8,4,A,40
90,1,2,8,4,14,9,4,D,39
91,2,2,8,2,14,7,0,A,31
92,1,2,6,8,14,10,6,D,44
93,2,2,6,4,8,0,0,A,18
94,2,2,8,2,4,7,2,A,23
95,2,2,6,4,7,8,2,D,27
96,1,2,8,0,3,7,2,D,20
97,2,2,8,2,8,0,0,D,18
98,2,2,8,6,8,10,0,B,32
99,1,2,6,0,10,8,0,B,24
100,1,2,8,4,14,10,0,A,36
101,2,2,8,2,5,7,2,A,24
102,1,2,6,6,12,3,1,D,28
103,2,2,6,4,14,5,0,A,29
104,2,2,8,2,12,2,0,B,24
105,2,2,0,4,4,10,2,A,20
106,2,2,8,4,14,7,2,A,35
107,2,2,8,4,12,7,2,A,33
108,2,2,8,0,14,4,1,A,27
109,2,2,6,2,12,8,2,A,30
110,1,2,8,6,14,9,2,A,39
111,2,2,8,2,14,0,0,A,24
112,2,2,0,4,14,2,2,B,22
113,2,2,8,4,14,9,2,A,37
114,2,2,4,4,14,10,2,A,34
115,2,2,8,6,14,10,6,A,44
116,1,2,8,4,14,4,0,A,30
117,2,2,8,8,14,9,4,A,43
118,2,2,8,4,14,8,0,A,34
119,2,2,6,6,14,10,2,A,38
120,1,2,8,6,8,10,2,D,34
121,2,2,6,8,10,6,2,D,32
122,2,2,8,2,14,8,0,A,32
123,2,2,6,6,4,4,0,D,20
124,2,2,8,6,14,7,2,A,37
125,2,2,8,2,14,8,1,A,33
126,2,2,8,4,8,7,0,B,27
127,2,2,8,4,14,8,0,D,34
128,1,2,8,4,12,10,2,A,36
129,2,2,6,6,12,8,2,A,34
130,1,2,8,6,14,10,0,A,38
131,2,2,8,6,8,2,2,B,26
132,1,2,8,4,14,7,0,A,33
133,2,2,8,8,14,10,2,A,42
134,2,2,8,2,9,0,0,D,19
135,2,2,6,2,12,0,1,B,21
136,2,2,8,0,14,2,0,B,24
137,2,2,8,0,2,0,1,B,11
138,2,2,8,2,6,0,0,D,16
139,1,2,8,4,13,10,0,B,35
140,2,2,6,2,14,7,2,A,31
141,2,2,8,2,14,7,2,A,33
142,2,2,8,0,14,8,0,D,30
143,1,2,8,4,4,5,2,D,23
144,2,2,6,2,4,10,0,D,22
145,1,2,8,2,10,10,1,D,31
146,1,2,8,8,14,10,2,A,42
147,2,2,8,4,10,10,3,B,35
148,1,2,8,0,4,0,0,D,12
149,2,2,6,4,10,0,2,A,22
150,2,2,8,4,14,10,0,B,36
151,2,2,6,6,12,10,2,A,36
152,2,2,8,4,12,10,3,A,37
153,2,2,8,6,7,5,0,B,26
154,2,2,8,6,14,8,4,A,40
155,1,2,8,4,8,0,0,D,20
156,2,2,4,4,14,0,0,A,22
157,2,2,4,4,12,2,0,D,22
158,2,2,6,0,2,0,0,B,8
159,2,2,6,0,4,0,0,D,10
160,2,2,8,2,14,10,0,D,34
161,2,2,8,0,14,7,0,B,29
